Time (s),Count
5.03041167,9.837762
5.03048838,7.2382374
5.03056509,4.1688304
5.0306418,0
5.03071851,0
5.03079522,0
5.03087193,0.7684179
5.03094864,0
5.03102535,0
5.03110206,0.4203863
5.03117877,0
5.03125548,0
5.03133219,0
5.0314089,1.1455859
5.03148561,0
5.03156232,0
5.03163903,0.65472776
5.03171574,0
5.03179245,0
5.03186916,0
5.03194587,0
5.03202258,0
5.03209929,0
5.032176,0
5.03225271,0
5.03232942,0
5.03240613,1.2129755
5.03248284,2.3144667
5.03255955,0
5.03263626,0.93766356
5.03271297,0
5.03278968,0
5.03286639,0
5.0329431,0
5.03301981,0
5.03309652,0
5.03317323,2.9876375
5.03324994,3.755699
5.03332665,1.8867376
5.03340336,0
5.03348007,0
5.03355678,0
5.03363349,0
5.0337102,0
5.03378691,0
5.03386362,0
5.03394033,0
5.03401704,0
5.03409375,0
5.03417046,0
5.03424717,0
5.03432388,0
5.03440059,0
5.0344773,0
5.03455401,0
5.03463072,0
5.03470743,0
5.03478414,1.3232061
5.03486085,0
5.03493756,1.1320283
5.03501427,0
5.03509098,0
5.03516769,0
5.0352444,0
5.03532111,0
5.03539782,1.842471
5.03547453,0
5.03555124,0.8468658
5.03562795,2.659886
5.03570466,0
5.03578137,0
5.03585808,0.44365606
5.03593479,0
5.0360115,0
5.03608821,0
5.03616492,0
5.03624163,0
5.03631834,0
5.03639505,0
5.03647176,0
5.03654847,2.208803
5.03662518,0
5.03670189,0
5.0367786,0
5.03685531,0
5.03693202,0
5.03700873,0
5.03708544,2.7327354
5.03716215,0
5.03723886,0
5.03731557,0
5.03739228,0
5.03746899,0
5.0375457,1.3950324
5.03762241,0.9408548
5.03769912,0
5.03777583,0
5.03785254,0
5.03792925,0
5.03800596,0
5.03808267,2.2653482
5.03815938,0
5.03823609,0
5.0383128,0
5.03838951,0.821277
5.03846622,1.0039587
5.03854293,0.6053157
5.03861964,0
5.03869635,0
5.03877306,0
5.03884977,0
5.03892648,1.2137555
5.03900319,0
5.0390799,0
5.03915661,0
5.03923332,0
5.03931003,0
5.03938674,0
5.03946345,0
5.03954016,0
5.03961687,0
5.03969358,0
5.03977029,0
5.039847,0
5.03992371,0
5.04000042,0
5.04007713,0
5.04015384,1.3458468
5.04023055,1.9451699
5.04030726,0
5.04038397,2.595159
5.04046068,0
5.04053739,0
5.0406141,2.8097994
5.04069081,0
5.04076752,2.7244616
5.04084423,1.5736043
5.04092094,3.2710598
5.04099765,1.325567
5.04107436,0
5.04115107,2.8143997
5.04122778,0
5.04130449,1.4192666
5.0413812,0
5.04145791,0
5.04153462,0
5.04161133,0
5.04168804,0
5.04176475,0
5.04184146,0
5.04191817,0.87773836
5.04199488,0
5.04207159,0
5.0421483,0
5.04222501,0
5.04230172,0
5.04237843,0
5.04245514,0
5.04253185,0
5.04260856,0
5.04268527,0
5.04276198,0
5.04283869,0
5.0429154,2.035653
5.04299211,0
5.04306882,0
5.04314553,0
5.04322224,0
5.04329895,0
5.04337566,1.7434958
5.04345237,0
5.04352908,0
5.04360579,0
5.0436825,0
5.04375921,0
5.04383592,0
5.04391263,0
5.04398934,0.7093817
5.04406605,0.35217476
5.04414276,0
5.04421947,0
5.04429618,0
5.04437289,0
5.0444496,0
5.04452631,0
5.04460302,2.3399298
5.04467973,0
5.04475644,0
5.04483315,0
5.04490986,0
5.04498657,0
5.04506328,0
5.04513999,0
5.0452167,1.6227733
5.04529341,0
5.04537012,0
5.04544683,0
5.04552354,0
5.04560025,0
5.04567696,0
5.04575367,1.2668453
5.04583038,0
5.04590709,0
5.0459838,0
